title,price,location,surface,rooms,baths,link,city,surface_m2,price_per_m2,segment
Appartement moderne à vendre Prestigia 2ch,2400000.0,"Appartements dans Marrakech, Agdal",,2 chambres,2 sdbs,https://www.avito.ma/fr/agdal/appartements/Appartement_moderne_%C3%A0_vendre_Prestigia_2ch_57740061.htm,Marrakech,73.0,32876.71,Luxe
Appartement en vente ain borja,850000.0,"Appartements dans Casablanca, Aïn Borja",81 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/a%C3%AFn_borja/appartements/Appartement_en_vente_ain_borja_50678435.htm,Casablanca,81.0,10493.83,Moyen
Appartement à vendre 100 m² à Essaouira,1250000.0,"Appartements dans Essaouira, Toute la ville",100 m²,2 chambres,1 sdb,https://www.avito.ma/fr/essaouira/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Essaouira_57768262.htm,Essaouira,100.0,12500.0,Moyen
Appartement neuf enregistré conservé Médina Errahma,570000.0,"Appartements dans Casablanca, Errahma",75 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/errahma/appartements/Appartement_neuf_enregistr%C3%A9_conserv%C3%A9_M%C3%A9dina_Errahma_50961295.htm,Casablanca,75.0,7600.0,Economique
CMN-SI-1881 - Appartement à vendre à Bourgogne Est,1800000.0,"Appartements dans Casablanca, Bourgogne",103 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/bourgogne/appartements/CMN_SI_1881___Appartement_%C3%A0_vendre_%C3%A0_Bourgogne_Est_57341638.htm,Casablanca,103.0,17475.73,Moyen
Appartement de luxe à vendre à Marina golf Asilah,1800000.0,"Appartements dans Asilah, Toute la ville",113 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/asilah/appartements/Appartement_de_luxe_%C3%A0_vendre_%C3%A0_Marina_golf_Asilah_57837614.htm,Asilah,113.0,15929.2,Moyen
CMN-HA-1848 - Appartement à vendre à Lissasfa,930000.0,"Appartements dans Casablanca, Lissasfa",103 m²,3 chambres,1 sdb,https://www.avito.ma/fr/lissasfa/appartements/CMN_HA_1848___Appartement_%C3%A0_vendre_%C3%A0_Lissasfa_57291337.htm,Casablanca,103.0,9029.13,Moyen
Appartement Mers Sultan 139 m² à Casablanca,1750000.0,"Appartements dans Casablanca, Mers Sultan",139 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/mers_sultan/appartements/Appartement_Mers_Sultan_139_m%C2%B2_%C3%A0_Casablanca_56434189.htm,Casablanca,139.0,12589.93,Moyen
beau duplex en vente ain borja,850000.0,"Appartements dans Casablanca, Aïn Chock",85 m²,2 chambres,1 sdb,https://www.avito.ma/fr/a%C3%AFn_chock/appartements/beau_duplex_en_vente_ain_borja_57467935.htm,Casablanca,85.0,10000.0,Moyen
Appartement à vendre 170 m² à CFC,4200000.0,"Appartements dans Casablanca, Casablanca Finance City",170 m²,3 chambres,3 sdbs,https://www.avito.ma/fr/casablanca_finance_city/appartements/Appartement_%C3%A0_vendre_170_m%C2%B2_%C3%A0_CFC_57775845.htm,Casablanca,170.0,24705.88,Luxe
"Super emplacement, neuf, Livraison dans 2 mois",1190000.0,"Appartements dans Marrakech, Guéliz",69 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Super_emplacement__neuf__Livraison_dans_2_mois_56116322.htm,Marrakech,69.0,17246.38,Moyen
Grand appartement à vendre à Hay Riad,4700000.0,"Appartements dans Rabat, Hay Riad",,3 chambres,2 sdbs,https://www.avito.ma/fr/hay_riad/appartements/Grand_appartement_%C3%A0_vendre_%C3%A0_Hay_Riad_57773567.htm,Rabat,154.5,30420.71,Luxe
Bel appartement en vente al fida,660000.0,"Appartements dans Casablanca, Al Fida",66 m²,2 chambres,1 sdb,https://www.avito.ma/fr/al_fida/appartements/Bel_appartement_en_vente_al_fida_55715816.htm,Casablanca,66.0,10000.0,Moyen
Appartement à vendre 68 m² au maarif,1280000.0,"Appartements dans Casablanca, Maarif",68 m²,2 chambres,1 sdb,https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_vendre_68_m%C2%B2_au_maarif_56499615.htm,Casablanca,68.0,18823.53,Moyen
bel appartement en vente ain borja,693500.0,"Appartements dans Casablanca, Aïn Borja",79 m²,3 chambres,1 sdb,https://www.avito.ma/fr/a%C3%AFn_borja/appartements/bel_appartement_en_vente_ain_borja_53581921.htm,Casablanca,79.0,8778.48,Moyen
Appartement à vendre 59 m² à Ain Sebaa,708000.0,"Appartements dans Casablanca, Ain Sebaa",59 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_59_m%C2%B2_%C3%A0_Ain_Sebaa_57634725.htm,Casablanca,59.0,12000.0,Moyen
Appartement à vendre 90 m² centre ville Fès,450000.0,"Appartements dans Fès, Centre",appartement à vendre 90 m² centre ville fès,2 chambres,1 sdb,https://www.avito.ma/fr/centre/appartements/Appartement_%C3%A0_vendre_90_m%C2%B2_centre_ville_F%C3%A8s_56433490.htm,Fès,90.0,5000.0,Economique
Appartement à vendre 50 m² à Casablanca,270000.0,"Appartements dans Casablanca, Oulfa",appartement à vendre 50 m² à casablanca,2 chambres,1 sdb,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Casablanca_57870571.htm,Casablanca,50.0,5400.0,Economique
Bel appartement vente quartier des hôpitaux,1200000.0,"Appartements dans Casablanca, Quartier des Hôpitaux",92 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Bel_appartement_vente_quartier_des_h%C3%B4pitaux_48561359.htm,Casablanca,92.0,13043.48,Moyen
Bel appartement vente belvedere,970000.0,"Appartements dans Casablanca, Belvédère",109 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Bel_appartement_vente_belvedere_51013634.htm,Casablanca,109.0,8899.08,Moyen
Grand bel appartement en vente Casablanca,1690000.0,"Appartements dans Casablanca, Centre Ville",189 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/centre_ville/appartements/Grand_bel_appartement_en_vente_Casablanca_56540709.htm,Casablanca,189.0,8941.8,Moyen
Bel appartement de 73m² à Ain Sebaa,817600.0,"Appartements dans Casablanca, Oulfa",73 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/oulfa/appartements/Bel_appartement_de_73m%C2%B2_%C3%A0_Ain_Sebaa_54211100.htm,Casablanca,73.0,11200.0,Moyen
Appartement 110 m² à Casablanca,530000.0,"Appartements dans Casablanca, Sidi Bernoussi",110 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_110_m%C2%B2_%C3%A0_Casablanca_54645618.htm,Casablanca,110.0,4818.18,Economique
Appartement à vendre de 78 m2 avec balcon,800000.0,"Appartements dans Marrakech, Allal El Fassi",,2 chambres,1 sdb,https://www.avito.ma/fr/allal_el_fassi/appartements/Appartement_%C3%A0_vendre_de_78_m2_avec_balcon_57832555.htm,Marrakech,73.0,10958.9,Moyen
CMN-MA-2404 - Appartement à vendre à Les princesses,2400000.0,"Appartements dans Casablanca, Les Princesses",121 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/les_princesses/appartements/CMN_MA_2404___Appartement_%C3%A0_vendre_%C3%A0_Les_princesses_57234386.htm,Casablanca,121.0,19834.71,Luxe
Appartement rdc à vendre Mabrouka jnan ali,1400000.0,"Appartements dans Marrakech, Mabrouka",,2 chambres,2 sdbs,https://www.avito.ma/fr/mabrouka/appartements/Appartement_rdc_%C3%A0_vendre_Mabrouka_jnan_ali_57856349.htm,Marrakech,73.0,19178.08,Moyen
Appartement à vendre 52 m² à Casablanca,330000.0,"Appartements dans Casablanca, Oulfa",52 m²,2 chambres,1 sdb,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_52_m%C2%B2_%C3%A0_Casablanca_57870545.htm,Casablanca,52.0,6346.15,Economique
bel appartement en vente 3 chambres 1 salon,950000.0,"Appartements dans Casablanca, Aïn Borja",112 m²,3 chambres,1 sdb,https://www.avito.ma/fr/a%C3%AFn_borja/appartements/bel_appartement_en_vente_3_chambres_1_salon_49517461.htm,Casablanca,112.0,8482.14,Moyen
Grand appartement en vente à Ain Borja,1600000.0,"Appartements dans Casablanca, Aïn Borja",225 m²,4 chambres,2 sdbs,https://www.avito.ma/fr/a%C3%AFn_borja/appartements/Grand_appartement_en_vente_%C3%A0_Ain_Borja_57043473.htm,Casablanca,225.0,7111.11,Moyen
CMN-MA-1139 - Appartement à vendre à Val Fleurie,1800000.0,"Appartements dans Casablanca, Val Fleuri",129 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/val_fleuri/appartements/CMN_MA_1139___Appartement_%C3%A0_vendre_%C3%A0_Val_Fleurie_57319442.htm,Casablanca,129.0,13953.49,Moyen
Studio Neuf 54m2 4è étg Terrasse garage Palmier,1350000.0,"Appartements dans Casablanca, Palmier",10 m²,1 chambre,1 sdb,https://www.avito.ma/fr/palmier/appartements/Studio_Neuf_54m2_4%C3%A8_%C3%A9tg_Terrasse_garage_Palmier_57751382.htm,Casablanca,10.0,135000.0,Moyen
Rez de jardin à vendre 107 m² vue sur piscine,1900000.0,"Appartements dans Marrakech, Route de Casablanca",107 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/route_de_casablanca/appartements/Rez_de_jardin_%C3%A0_vendre_107_m%C2%B2_vue_sur_piscine_57648716.htm,Marrakech,107.0,17757.01,Moyen
CMN-HA-1859 - Appartement à vendre à Beauséjour,1270000.0,"Appartements dans Casablanca, Beauséjour",95 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/beaus%C3%A9jour/appartements/CMN_HA_1859___Appartement_%C3%A0_vendre_%C3%A0_Beaus%C3%A9jour_57245367.htm,Casablanca,95.0,13368.42,Moyen
Appart à vendre 76 m² (Rez Chaussée) à Bouznika,530000.0,"Appartements dans Bouznika, Autre secteur",76 m²,2 chambres,1 sdb,https://www.avito.ma/fr/autre_secteur/appartements/Appart_%C3%A0_vendre_76_m%C2%B2__Rez_Chauss%C3%A9e__%C3%A0_Bouznika_56732656.htm,Bouznika,76.0,6973.68,Economique
Apparemment titré,165000.0,"Appartements dans Fès, Zouagha",56 m²,2 chambres,1 sdb,https://www.avito.ma/fr/zouagha/appartements/Apparemment_titr%C3%A9_57870484.htm,Fès,56.0,2946.43,Economique
Appartement à vendre 138m² Tanger centre ville,2200000.0,"Appartements dans Tanger, Centre ville",138 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_138m%C2%B2_Tanger_centre_ville_55183990.htm,Tanger,138.0,15942.03,Luxe
Rêve Vue sur mer,1800000.0,"Appartements dans Zenata, Toute la ville",87 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/zenata/appartements/R%C3%AAve_Vue_sur_mer_57870481.htm,Zenata,87.0,20689.66,Moyen
"Appartement à vendre à Hay Moulay Abdellah, 100m",980000.0,"Appartements dans Casablanca, Aïn Chock",100 m²,2 chambres,1 sdb,https://www.avito.ma/fr/a%C3%AFn_chock/appartements/Appartement_%C3%A0_vendre_%C3%A0_Hay_Moulay_Abdellah__100m_57870471.htm,Casablanca,100.0,9800.0,Moyen
Appartement 111m² à rénover – Sans frais d’agence,950000.0,"Appartements dans Marrakech, Issil",111 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/issil/appartements/Appartement_111m%C2%B2_%C3%A0_r%C3%A9nover___Sans_frais_d_agence_57870468.htm,Marrakech,111.0,8558.56,Moyen
Appartement à vendre 67 m² à Asilah,900000.0,"Appartements dans Asilah, Toute la ville",67 m²,2 chambres,1 sdb,https://www.avito.ma/fr/asilah/appartements/Appartement_%C3%A0_vendre_67_m%C2%B2_%C3%A0_Asilah_56773217.htm,Asilah,67.0,13432.84,Moyen
À VENDRE APPARTEMENT LUMINEUX,420000.0,"Appartements dans Marrakech, Hay Charaf",60 m²,1 chambre,1 sdb,https://www.avito.ma/fr/hay_charaf/appartements/%C3%80_VENDRE_APPARTEMENT_LUMINEUX_57870449.htm,Marrakech,60.0,7000.0,Economique
TNG-TA-1129 - Appartement à vendre à Msala,1350000.0,"Appartements dans Tanger, Autre secteur",86 m²,2 chambres,1 sdb,https://www.avito.ma/fr/autre_secteur/appartements/TNG_TA_1129___Appartement_%C3%A0_vendre_%C3%A0_Msala_57618931.htm,Tanger,86.0,15697.67,Moyen
Appartement à vendre,1450000.0,"Appartements dans Tanger, Hay Hassani",106 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/hay_hassani/appartements/Appartement_%C3%A0_vendre_57870443.htm,Tanger,106.0,13679.25,Moyen
Appartement à vendre 100 m²,910000.0,"Appartements dans Salé, Abouab Sala",appartement à vendre 100 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/abouab_sala/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_57870445.htm,Salé,100.0,9100.0,Moyen
Appartement au 4ème étage avec ascenseur à la résidence Jawharat Al Atlas,400000.0,"Appartements dans Béni Mellal, Toute la ville",84 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/b%C3%A9ni_mellal/appartements/Appartement_au_4%C3%A8me_%C3%A9tage_avec_ascenseur_%C3%A0_la_r%C3%A9sidence_Jawharat_Al_Atlas_57370619.htm,Béni Mellal,84.0,4761.9,Economique
Appartement à vendre 2 Mars,2120000.0,"Appartements dans Casablanca, 2 Mars",188 m²,3 chambres,3 sdbs,https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre_2_Mars_57834260.htm,Casablanca,188.0,11276.6,Luxe
Appartement à vendre 128 m² à Bouskoura,1300000.0,"Appartements dans Bouskoura, Victoria",140 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/victoria/appartements/Appartement_%C3%A0_vendre_128_m%C2%B2_%C3%A0_Bouskoura_57814586.htm,Bouskoura,140.0,9285.71,Moyen
"Appartement à vendre 58 m², Oulfa Hay Hassani",286000.0,"Appartements dans Casablanca, Oulfa",59 m²,2 chambres,1 sdb,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_58_m%C2%B2__Oulfa_Hay_Hassani_57775101.htm,Casablanca,59.0,4847.46,Economique
Appartement à vendre 146 m² au centre avec garage,1990000.0,"Appartements dans Tanger, Centre",146 m²,3 chambres,3 sdbs,https://www.avito.ma/fr/centre/appartements/Appartement_%C3%A0_vendre_146_m%C2%B2_au_centre_avec_garage_57870427.htm,Tanger,146.0,13630.14,Moyen
Appartement à vendre 174m2 à Mers Sultan,440000.0,"Appartements dans Casablanca, Mers Sultan",174 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/mers_sultan/appartements/Appartement_%C3%A0_vendre_174m2_%C3%A0_Mers_Sultan_57145224.htm,Casablanca,174.0,2528.74,Economique
Appartement 147 M² à Mohammedia,1650000.0,"Appartements dans Mohammedia, Autre secteur",14 m²,2 chambres,1 sdb,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_147_M%C2%B2_%C3%A0_Mohammedia_57761127.htm,Mohammedia,14.0,117857.14,Moyen
Appartements à vendre,1050000.0,"Appartements dans Temara, Autre secteur",100 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/autre_secteur/appartements/Appartements_%C3%A0_vendre_56950731.htm,Temara,100.0,10500.0,Moyen
Appartements à vendre près du café Russie,850000.0,"Appartements dans Martil, Toute la ville",80 m²,3 chambres,1 sdb,https://www.avito.ma/fr/martil/appartements/Appartements_%C3%A0_vendre_pr%C3%A8s_du_caf%C3%A9_Russie_57739365.htm,Martil,80.0,10625.0,Moyen
"Appartement à vendre quartier Al Fadl, rez-de-chaussée, près de Marjane",470000.0,"Appartements dans Marrakech, Hay Izdihar",6 m²,2 chambres,1 sdb,https://www.avito.ma/fr/hay_izdihar/appartements/Appartement_%C3%A0_vendre_quartier_Al_Fadl__rez_de_chauss%C3%A9e__pr%C3%A8s_de_Marjane_56061531.htm,Marrakech,6.0,78333.33,Economique
Appartement de haut standing,1650000.0,"Appartements dans Tétouan, Safir",147 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/safir/appartements/Appartement_de_haut_standing_57783470.htm,Tétouan,147.0,11224.49,Moyen
Excellent appartement meublé à vendre dans le quartier Al Saada près de Marjane,570000.0,"Appartements dans Marrakech, Es Saada",54 m²,2 chambres,1 sdb,https://www.avito.ma/fr/es_saada/appartements/Excellent_appartement_meubl%C3%A9_%C3%A0_vendre_dans_le_quartier_Al_Saada_pr%C3%A8s_de_Marjane_55213265.htm,Marrakech,54.0,10555.56,Economique
Appartement sur R plus 2,930000.0,"Appartements dans El Jadida, Hay Essalam",80 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/hay_essalam/appartements/Appartement_sur_R_plus_2_55568045.htm,El Jadida,80.0,11625.0,Moyen
Appartement à vendre 70 m² à Essaouira,720000.0,"Appartements dans Essaouira, Centre ville",75 m²,2 chambres,1 sdb,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_%C3%A0_Essaouira_57768043.htm,Essaouira,75.0,9600.0,Moyen
Appartement à vendre 106 m² à Dar Bouazza Tamaris,1200000.0,"Appartements dans Dar Bouazza, Toute la ville",appartement à vendre 106 m² à dar bouazza tamaris,2 chambres,1 sdb,https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_vendre_106_m%C2%B2_%C3%A0_Dar_Bouazza_Tamaris_57490459.htm,Dar Bouazza,106.0,11320.75,Moyen
Appartement à vendre 98 m² à Tanger,1200000.0,"Appartements dans Tanger, Aida",appartement à vendre 98 m² à tanger,3 chambres,1 sdb,https://www.avito.ma/fr/aida/appartements/Appartement_%C3%A0_vendre_98_m%C2%B2_%C3%A0_Tanger_57870327.htm,Tanger,98.0,12244.9,Moyen
Appartement à vendre 133 m² à Casablanca,1350000.0,"Appartements dans Casablanca, 2 Mars",appartement à vendre 133 m² à casablanca,3 chambres,2 sdbs,https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre_133_m%C2%B2_%C3%A0_Casablanca_57480288.htm,Casablanca,133.0,10150.38,Moyen
Bel appartement à vendre à Hay Charaf,740000.0,"Appartements dans Marrakech, Hay Charaf",98 m²,2 chambres,1 sdb,https://www.avito.ma/fr/hay_charaf/appartements/Bel_appartement_%C3%A0_vendre_%C3%A0_Hay_Charaf_56524472.htm,Marrakech,98.0,7551.02,Moyen
Appartement à vendre 88 m² à Tanger Tanja Balia,750000.0,"Appartements dans Tanger, Tanja Balia",88 m²,2 chambres,1 sdb,https://www.avito.ma/fr/tanja_balia/appartements/Appartement_%C3%A0_vendre_88_m%C2%B2_%C3%A0_Tanger_Tanja_Balia_55923156.htm,Tanger,88.0,8522.73,Moyen
Appartement à vendre 99 m² à Casablanca,950000.0,"Appartements dans Casablanca, Sidi Maarouf",87 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_99_m%C2%B2_%C3%A0_Casablanca_56666374.htm,Casablanca,87.0,10919.54,Moyen
STUDIO à vendre Jnan Awrad Marrakech,955000.0,"Appartements dans Marrakech, Route de Casablanca",49 m²,1 chambre,1 sdb,https://www.avito.ma/fr/route_de_casablanca/appartements/STUDIO_%C3%A0_vendre_Jnan_Awrad_Marrakech_57870301.htm,Marrakech,49.0,19489.8,Moyen
Appartement à vendre 48 m² à Agadir,490000.0,"Appartements dans Agadir, Hay Salam",48 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/hay_salam/appartements/Appartement_%C3%A0_vendre_48_m%C2%B2_%C3%A0_Agadir_57870289.htm,Agadir,48.0,10208.33,Economique
Studio à vendre à Palmier,1250000.0,"Appartements dans Casablanca, Palmier",,1 chambre,1 sdb,https://www.avito.ma/fr/palmier/appartements/Studio_%C3%A0_vendre_%C3%A0_Palmier_57748665.htm,Casablanca,100.0,12500.0,Moyen
Bel appartement de 66 m2 à vendre,367000.0,"Appartements dans Sidi Hajjaj Oued Hassar, Toute la ville",66 m²,2 chambres,1 sdb,https://www.avito.ma/fr/sidi_hajjaj_oued_hassar/appartements/Bel_appartement_de_66_m2_%C3%A0_vendre_57609769.htm,Sidi Hajjaj Oued Hassar,66.0,5560.61,Economique
Appartement à vendre 122m² Casablanca Mers sultan,1366400.0,"Appartements dans Casablanca, Mers Sultan",appartement à vendre 122m² casablanca mers sultan,3 chambres,1 sdb,https://www.avito.ma/fr/mers_sultan/appartements/Appartement_%C3%A0_vendre_122m%C2%B2_Casablanca_Mers_sultan_56403599.htm,Casablanca,122.0,11200.0,Moyen
Appartement Meftah Anza,580000.0,"Appartements dans Agadir, Anza",40 m²,1 chambre,1 sdb,https://www.avito.ma/fr/anza/appartements/Appartement_Meftah_Anza_57864938.htm,Agadir,40.0,14500.0,Economique
Un appartement,1100000.0,"Appartements dans Meknès, Hamria",200 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/hamria/appartements/Un_appartement_57792800.htm,Meknès,200.0,5500.0,Moyen
Appartements de luxe à vendre,890000.0,"Appartements dans Kénitra, Val Fleury",124 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/val_fleury/appartements/Appartements_de_luxe_%C3%A0_vendre_57665875.htm,Kénitra,124.0,7177.42,Moyen
Bel appartement terrasse à Essaouira,850000.0,"Appartements dans Essaouira, Centre ville",62 m²,1 chambre,1 sdb,https://www.avito.ma/fr/centre_ville/appartements/Bel_appartement_terrasse_%C3%A0_Essaouira_57277766.htm,Essaouira,62.0,13709.68,Moyen
Appartement à vendre 61 m² à Marrakech,1530000.0,"Appartements dans Marrakech, Guéliz",61 m²,1 chambre,1 sdb,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_61_m%C2%B2_%C3%A0_Marrakech_57656693.htm,Marrakech,61.0,25081.97,Moyen
Appartement à vendre 39 m² à Marrakech,698500.0,"Appartements dans Marrakech, Route d'Amezmiz",44 m²,1 chambre,1 sdb,https://www.avito.ma/fr/route_d_amezmiz/appartements/Appartement_%C3%A0_vendre_39_m%C2%B2_%C3%A0_Marrakech_57611206.htm,Marrakech,44.0,15875.0,Moyen
Studios à vendre à Zenata,740000.0,"Appartements dans Zenata, Toute la ville",50 m²,1 chambre,1 sdb,https://www.avito.ma/fr/zenata/appartements/Studios_%C3%A0_vendre_%C3%A0_Zenata_57102334.htm,Zenata,50.0,14800.0,Moyen
"Appartement ""Soumi Vini"" dans un quartier chic près de la mosquée et sans intérêt",380000.0,"Appartements dans Benslimane, Autre secteur",126 m²,3 chambres,1 sdb,https://www.avito.ma/fr/autre_secteur/appartements/Appartement__Soumi_Vini__dans_un_quartier_chic_pr%C3%A8s_de_la_mosqu%C3%A9e_et_sans_int%C3%A9r%C3%AAt_57737989.htm,Benslimane,126.0,3015.87,Economique
Triplex de 200m² à 200m avenue ibn badis,1120000.0,"Appartements dans El Jadida, Autre secteur",203 m²,3 chambres,1 sdb,https://www.avito.ma/fr/autre_secteur/appartements/Triplex_de_200m%C2%B2_%C3%A0_200m_avenue_ibn_badis_57052573.htm,El Jadida,203.0,5517.24,Moyen
Appartement à vendre 129 m² à Casablanca,1650000.0,"Appartements dans Casablanca, Almaz",146 m²,3 chambres,3 sdbs,https://www.avito.ma/fr/almaz/appartements/Appartement_%C3%A0_vendre_129_m%C2%B2_%C3%A0_Casablanca_57503328.htm,Casablanca,146.0,11301.37,Moyen
Appartement à vendre Lovallon,470000.0,"Appartements dans Kénitra, Autre secteur",68 m²,2 chambres,1 sdb,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_Lovallon_57870200.htm,Kénitra,68.0,6911.76,Economique
Annonce sérieuse,530000.0,"Appartements dans Casablanca, Sidi Bernoussi",71 m²,2 chambres,1 sdb,https://www.avito.ma/fr/sidi_bernoussi/appartements/Annonce_s%C3%A9rieuse_57870192.htm,Casablanca,71.0,7464.79,Economique
Appartement à vendre 92 m² à boustane El Jadida,660000.0,"Appartements dans El Jadida, Al Boustane",92 m²,2 chambres,1 sdb,https://www.avito.ma/fr/al_boustane/appartements/Appartement_%C3%A0_vendre_92_m%C2%B2_%C3%A0_boustane_El_Jadida_57179527.htm,El Jadida,92.0,7173.91,Moyen
Appartement Hamria,1150000.0,"Appartements dans Meknès, Hamria",143 m²,3 chambres,3 sdbs,https://www.avito.ma/fr/hamria/appartements/Appartement_Hamria_57870187.htm,Meknès,143.0,8041.96,Moyen
Appartement à vendre 65 m² à Mohammedia,510000.0,"Appartements dans Mohammedia, Autre secteur",65 m²,2 chambres,1 sdb,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_65_m%C2%B2_%C3%A0_Mohammedia_57864811.htm,Mohammedia,65.0,7846.15,Economique
Appartement Zineb,3200000.0,"Appartements dans Casablanca, Racine",204 m²,3 chambres,3 sdbs,https://www.avito.ma/fr/racine/appartements/Appartement_Zineb_57870113.htm,Casablanca,204.0,15686.27,Luxe
Super appart 92m2 ensoleillé sur parc,1300000.0,"Appartements dans Mohammedia, Quartier du Parc",92 m²,2 chambres,0 sdb,https://www.avito.ma/fr/quartier_du_parc/appartements/Super_appart_92m2_ensoleill%C3%A9_sur_parc_55947491.htm,Mohammedia,92.0,14130.43,Moyen
Appartement de 3 chambres à vendre à Maamora,1330000.0,"Appartements dans Kénitra, Maamora",130 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/maamora/appartements/Appartement_de_3_chambres_%C3%A0_vendre_%C3%A0_Maamora_57207136.htm,Kénitra,130.0,10230.77,Moyen
Appartement à vendre 75 m² à Essaouira,1000000.0,"Appartements dans Essaouira, Centre ville",75 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_75_m%C2%B2_%C3%A0_Essaouira_57767821.htm,Essaouira,75.0,13333.33,Moyen
Duplex meublé à vendre centre ville,620000.0,"Appartements dans Kénitra, Centre",75 m²,2 chambres,2 sdbs,https://www.avito.ma/fr/centre/appartements/Duplex_meubl%C3%A9_%C3%A0_vendre_centre_ville_56842888.htm,Kénitra,75.0,8266.67,Moyen
Appartement à vendre 140 m² à Bouznika,760000.0,"Appartements dans Bouznika, Autre secteur",146 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_140_m%C2%B2_%C3%A0_Bouznika_56060026.htm,Bouznika,146.0,5205.48,Moyen
Appt 92m2 ensoleillé sur Wafa,540000.0,"Appartements dans Mohammedia, Wafa",,2 chambres,1 sdb,https://www.avito.ma/fr/wafa/appartements/Appt_92m2_ensoleill%C3%A9_sur_Wafa_55947168.htm,Mohammedia,89.5,6033.52,Economique
Appartement à vendre à Témara Tariq Ibn Ziyad,750000.0,"Appartements dans Temara, Autre secteur",,2 chambres,1 sdb,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_%C3%A0_T%C3%A9mara_Tariq_Ibn_Ziyad_57870078.htm,Temara,98.0,7653.06,Moyen
Appartement à vendre 199 m² à Boulevard Zerktouni,3800000.0,"Appartements dans Casablanca, Maarif",199 m²,3 chambres,3 sdbs,https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_vendre_199_m%C2%B2_%C3%A0_Boulevard_Zerktouni_57706141.htm,Casablanca,199.0,19095.48,Luxe
Appartements enregistrés éligibles au soutien de 7 millions,480000.0,"Appartements dans Martil, Toute la ville",50 m²,2 chambres,1 sdb,https://www.avito.ma/fr/martil/appartements/Appartements_enregistr%C3%A9s_%C3%A9ligibles_au_soutien_de_7_millions_57870038.htm,Martil,50.0,9600.0,Economique
